DATA,TEMP
1963-05-01,23.11
1963-06-01,24.2
1963-07-01,25.37
1963-08-01,23.86
1963-09-01,23.03
1963-10-01,21.57
1963-11-01,20.63
1963-12-01,20.15
1964-01-01,19.67
1964-02-01,20.03
1964-03-01,20.02
1964-04-01,21.8
1964-05-01,24.19
1964-06-01,25.28
1964-07-01,25.6
1964-08-01,25.37
1964-09-01,24.79
1964-10-01,24.69
1964-11-01,23.86
1964-12-01,22.32
1965-01-01,21.44
1965-02-01,21.77
1965-03-01,22.33
1965-04-01,22.89
1965-05-01,24.52
1965-06-01,26.21
1965-07-01,26.37
1965-08-01,24.73
1965-09-01,23.71
1965-10-01,22.34
1965-11-01,20.89
1965-12-01,20.02
1966-01-01,19.63
1966-02-01,20.4
1966-03-01,20.77
1966-04-01,22.39
1966-05-01,24.15
1966-06-01,26.34
1966-07-01,27.36
1966-08-01,27.03
1966-09-01,25.47
1966-10-01,23.49
1966-11-01,22.2
1966-12-01,21.45
1967-01-01,21.25
1967-02-01,20.95
1967-03-01,21.6
1967-04-01,22.44
1967-05-01,23.02
1967-06-01,25.0
1967-07-01,25.33
1967-08-01,22.97
1967-09-01,21.73
1967-10-01,20.77
1967-11-01,19.52
1967-12-01,19.33
1968-01-01,18.95
1968-02-01,19.11
1968-03-01,20.27
1968-04-01,21.3
1968-05-01,23.75
1968-06-01,24.82
1968-07-01,25.14
1968-08-01,24.22
1968-09-01,22.16
1968-10-01,21.2
1968-11-01,20.46
1968-12-01,19.63
1969-01-01,19.24
1969-02-01,19.16
1969-03-01,19.84
1969-04-01,21.19
1969-05-01,23.24
1969-06-01,24.71
1969-07-01,25.9
1969-08-01,24.66
1969-09-01,23.14
1969-10-01,22.04
1969-11-01,21.47
1969-12-01,20.55
1970-01-01,19.89
1970-02-01,19.69
1970-03-01,20.57
1970-04-01,21.58
1970-05-01,23.13
1970-06-01,26.3
1970-07-01,27.63
1970-08-01,27.15
1970-09-01,26.72
1970-10-01,25.04
1970-11-01,23.83
1970-12-01,22.34
1971-01-01,21.8
1971-02-01,21.8
1971-03-01,22.39
1971-04-01,23.69
1971-05-01,24.89
1971-06-01,26.55
1971-07-01,27.09
1971-08-01,26.37
1971-09-01,24.71
1971-10-01,23.23
1971-11-01,22.31
1971-12-01,20.72
1972-01-01,20.62
1972-02-01,21.05
1972-03-01,21.52
1972-04-01,22.5
1972-05-01,23.97
1972-06-01,25.9
1972-07-01,26.94
1972-08-01,25.84
1972-09-01,24.23
1972-10-01,22.57
1972-11-01,21.5
1972-12-01,20.15
1973-01-01,20.23
1973-02-01,20.86
1973-03-01,21.88
1973-04-01,22.55
1973-05-01,24.4
1973-06-01,25.59
1973-07-01,26.01
1973-08-01,24.66
1973-09-01,23.53
1973-10-01,21.83
1973-11-01,20.73
1973-12-01,20.1
1974-01-01,20.56
1974-02-01,20.27
1974-03-01,20.93
1974-04-01,22.74
1974-05-01,24.58
1974-06-01,26.66
1974-07-01,25.95
1974-08-01,25.17
1974-09-01,23.6
1974-10-01,22.36
1974-11-01,20.52
1974-12-01,19.97
1975-01-01,19.7
1975-02-01,20.07
1975-03-01,21.09
1975-04-01,22.11
1975-05-01,24.02
1975-06-01,25.35
1975-07-01,24.47
1975-08-01,23.43
1975-09-01,23.03
1975-10-01,21.81
1975-11-01,20.6
1975-12-01,20.17
1976-01-01,20.02
1976-02-01,20.14
1976-03-01,20.99
1976-04-01,21.82
1976-05-01,23.81
1976-06-01,25.36
1976-07-01,26.02
1976-08-01,24.67
1976-09-01,23.97
1976-10-01,22.41
1976-11-01,21.8
1976-12-01,21.31
1977-01-01,21.0
1977-02-01,21.13
1977-03-01,21.64
1977-04-01,22.55
1977-05-01,24.15
1977-06-01,25.08
1977-07-01,25.3
1977-08-01,24.61
1977-09-01,21.93
1977-10-01,21.44
1977-11-01,20.25
1977-12-01,19.48
1978-01-01,19.67
1978-02-01,19.79
1978-03-01,20.88
1978-04-01,21.83
1978-05-01,24.22
1978-06-01,26.17
1978-07-01,26.71
1978-08-01,27.01
1978-09-01,26.09
1978-10-01,24.6
1978-11-01,23.26
1978-12-01,22.54
1979-01-01,21.26
1979-02-01,21.57
1979-03-01,22.29
1979-04-01,23.35
1979-05-01,25.15
1979-06-01,25.88
1979-07-01,25.35
1979-08-01,24.26
1979-09-01,22.92
1979-10-01,21.8
1979-11-01,20.85
1979-12-01,20.17
1980-01-01,20.04
1980-02-01,20.51
1980-03-01,21.03
1980-04-01,22.25
1980-05-01,23.66
1980-06-01,25.54
1980-07-01,25.55
1980-08-01,24.98
1980-09-01,23.77
1980-10-01,22.04
1980-11-01,21.1
1980-12-01,19.84
1981-01-01,19.08
1981-02-01,19.47
1981-03-01,20.2
1981-04-01,21.28
1981-05-01,23.19
1981-06-01,24.88
1981-07-01,25.11
1981-08-01,23.97
1981-09-01,22.44
1981-10-01,21.7
1981-11-01,21.25
1981-12-01,20.97
1982-01-01,21.23
1982-02-01,21.12
1982-03-01,21.68
1982-04-01,23.2
1982-05-01,24.67
1982-06-01,25.56
