DATA,TEMP
1965-09-01,33.3
1965-10-01,32.88
1965-11-01,30.28
1965-12-01,30.42
1966-01-01,30.39
1966-02-01,29.45
1966-03-01,26.65
1966-04-01,25.0
1966-05-01,23.78
1966-06-01,27.19
1966-07-01,28.04
1966-08-01,31.9
1966-09-01,33.57
1966-10-01,33.17
1966-11-01,30.86
1966-12-01,30.7
1967-01-01,30.45
1967-02-01,29.9
1967-03-01,26.92
1967-04-01,25.24
1967-05-01,24.14
1967-06-01,24.22
1967-07-01,29.49
1967-08-01,31.8
1967-09-01,33.11
1967-10-01,31.98
1967-11-01,30.49
1967-12-01,30.29
1968-01-01,30.23
1968-02-01,29.08
1968-03-01,26.23
1968-04-01,23.6
1968-05-01,22.89
1968-06-01,25.59
1968-07-01,29.1
1968-08-01,31.76
1968-09-01,33.08
1968-10-01,32.82
1968-11-01,31.3
1968-12-01,30.47
1969-01-01,29.71
1969-02-01,29.14
1969-03-01,26.9
1969-04-01,23.9
1969-05-01,22.9
1969-06-01,26.56
1969-07-01,28.95
1969-08-01,30.99
1969-09-01,32.89
1969-10-01,32.9
1969-11-01,31.37
1969-12-01,30.36
1970-01-01,30.51
1970-02-01,29.85
1970-03-01,26.83
1970-04-01,24.33
1970-05-01,23.06
1970-06-01,25.51
1970-07-01,30.12
1970-08-01,32.12
1970-09-01,33.44
1970-10-01,32.53
1970-11-01,30.38
1970-12-01,30.37
1971-01-01,29.99
1971-02-01,30.07
1971-03-01,27.13
1971-04-01,24.39
1971-05-01,23.82
1971-06-01,25.53
1971-07-01,28.74
1971-08-01,30.6
1971-09-01,32.86
1971-10-01,33.25
1971-11-01,31.0
1971-12-01,30.39
1972-01-01,30.84
1972-02-01,30.32
1972-03-01,27.84
1972-04-01,24.68
1972-05-01,24.11
1972-06-01,26.97
1972-07-01,29.45
1972-08-01,31.95
1972-09-01,33.66
1972-10-01,32.67
1972-11-01,31.25
1972-12-01,30.77
1973-01-01,30.25
1973-02-01,29.68
1973-03-01,27.41
1973-04-01,24.7
1973-05-01,23.72
1973-06-01,26.9
1973-07-01,28.21
1973-08-01,31.7
1973-09-01,33.22
1973-10-01,33.15
1973-11-01,31.15
1973-12-01,30.35
1974-01-01,30.64
1974-02-01,29.48
1974-03-01,27.11
1974-04-01,24.1
1974-05-01,22.67
1974-06-01,24.69
1974-07-01,29.0
1974-08-01,31.59
1974-09-01,33.14
1974-10-01,33.1
1974-11-01,30.94
1974-12-01,30.8
1975-01-01,31.35
1975-02-01,29.55
1975-03-01,27.24
1975-04-01,24.79
1975-05-01,23.78
1975-06-01,26.19
1975-07-01,30.55
1975-08-01,32.4
1975-09-01,33.1
1975-10-01,33.41
1975-11-01,31.33
1975-12-01,30.8
1976-01-01,30.66
1976-02-01,30.13
1976-03-01,27.73
1976-04-01,25.27
1976-05-01,24.19
1976-06-01,26.19
1976-07-01,28.9
1976-08-01,32.98
1976-09-01,34.22
1976-10-01,32.33
1976-11-01,31.3
1976-12-01,30.59
1977-01-01,30.41
1977-02-01,29.89
1977-03-01,27.55
1977-04-01,25.07
1977-05-01,23.91
1977-06-01,26.08
1977-07-01,29.66
1977-08-01,32.19
1977-09-01,32.88
1977-10-01,31.74
1977-11-01,30.79
1977-12-01,30.38
1978-01-01,30.71
1978-02-01,29.61
1978-03-01,27.2
1978-04-01,24.7
1978-05-01,24.46
1978-06-01,24.53
1978-07-01,29.52
1978-08-01,31.46
1978-09-01,33.48
1978-10-01,33.74
1978-11-01,31.43
1978-12-01,30.6
1979-01-01,30.92
1979-02-01,29.48
1979-03-01,27.52
1979-04-01,24.65
1979-05-01,24.02
1979-06-01,26.67
1979-07-01,29.26
1979-08-01,33.3
1979-09-01,34.01
1979-10-01,33.05
1979-11-01,31.34
1979-12-01,30.15
1980-01-01,30.57
1980-02-01,29.41
1980-03-01,27.38
1980-04-01,24.12
1980-05-01,23.54
1980-06-01,25.14
1980-07-01,29.94
1980-08-01,32.68
1980-09-01,33.16
1980-10-01,32.7
1980-11-01,31.07
1980-12-01,30.94
1981-01-01,30.87
1981-02-01,29.96
1981-03-01,27.49
1981-04-01,23.63
1981-05-01,23.15
1981-06-01,25.09
1981-07-01,28.67
1981-08-01,32.36
1981-09-01,33.82
1981-10-01,32.46
1981-11-01,30.34
1981-12-01,30.21
1982-01-01,29.62
1982-02-01,29.62
1982-03-01,26.7
1982-04-01,24.66
1982-05-01,23.91
1982-06-01,25.31
1982-07-01,29.04
1982-08-01,31.71
1982-09-01,33.58
1982-10-01,32.7
1982-11-01,31.41
1982-12-01,29.8
1983-01-01,30.45
1983-02-01,30.35
1983-03-01,27.88
1983-04-01,25.06
1983-05-01,23.98
1983-06-01,26.31
1983-07-01,30.79
1983-08-01,31.7
1983-09-01,32.45
1983-10-01,32.69
1983-11-01,30.9
1983-12-01,30.64
1984-01-01,30.65
1984-02-01,30.07
1984-03-01,27.82
1984-04-01,24.88
1984-05-01,23.6
1984-06-01,25.12
1984-07-01,28.0
1984-08-01,32.23
1984-09-01,34.49
1984-10-01,32.94
1984-11-01,30.48
1984-12-01,30.4
1985-01-01,30.6
1985-02-01,30.43
1985-03-01,27.29
1985-04-01,25.21
1985-05-01,24.6
1985-06-01,25.39
1985-07-01,28.62
1985-08-01,33.11
1985-09-01,33.36
1985-10-01,33.78
1985-11-01,31.67
1985-12-01,31.16
1986-01-01,30.88
1986-02-01,30.49
1986-03-01,27.67
1986-04-01,24.85
1986-05-01,24.35
1986-06-01,26.07
1986-07-01,28.79
1986-08-01,33.36
1986-09-01,34.44
1986-10-01,32.73
1986-11-01,31.02
1986-12-01,30.73
1987-01-01,30.98
1987-02-01,30.46
1987-03-01,27.78
1987-04-01,24.29
1987-05-01,23.73
1987-06-01,26.07
1987-07-01,28.75
1987-08-01,32.26
1987-09-01,33.9
1987-10-01,33.19
1987-11-01,30.87
1987-12-01,30.57
1988-01-01,30.74
1988-02-01,30.01
1988-03-01,27.12
1988-04-01,24.58
1988-05-01,24.23
1988-06-01,24.78
1988-07-01,27.74
1988-08-01,31.65
1988-09-01,32.98
1988-10-01,32.86
1988-11-01,31.7
1988-12-01,30.64
1989-01-01,31.01
1989-02-01,30.19
1989-03-01,26.89
1989-04-01,24.69
1989-05-01,23.89
1989-06-01,25.35
1989-07-01,28.23
1989-08-01,31.1
1989-09-01,33.18
1989-10-01,33.39
1989-11-01,31.39
1989-12-01,30.67
1990-01-01,30.48
1990-02-01,29.59
1990-03-01,27.55
1990-04-01,24.57
1990-05-01,23.59
1990-06-01,24.62
1990-07-01,29.97
1990-08-01,32.19
1990-09-01,34.2
1990-10-01,32.88
1990-11-01,30.66
1990-12-01,30.76
1991-01-01,30.06
1991-02-01,30.09
1991-03-01,27.19
1991-04-01,25.11
1991-05-01,23.84
1991-06-01,26.74
1991-07-01,30.79
1991-08-01,32.72
1991-09-01,34.01
1991-10-01,32.78
1991-11-01,30.78
1991-12-01,30.67
1992-01-01,30.89
1992-02-01,29.55
1992-03-01,27.34
1992-04-01,25.17
1992-05-01,23.61
1992-06-01,25.67
1992-07-01,29.39
1992-08-01,32.11
1992-09-01,33.28
1992-10-01,32.97
1992-11-01,31.15
1992-12-01,30.67
1993-01-01,31.0
1993-02-01,29.86
1993-03-01,27.63
1993-04-01,24.75
1993-05-01,23.81
1993-06-01,26.34
1993-07-01,29.12
1993-08-01,32.18
1993-09-01,32.88
1993-10-01,33.82
1993-11-01,32.28
1993-12-01,31.28
1994-01-01,31.6
1994-02-01,30.32
1994-03-01,27.99
1994-04-01,25.2
1994-05-01,24.12
1994-06-01,26.67
1994-07-01,29.21
1994-08-01,32.15
1994-09-01,33.95
1994-10-01,33.12
1994-11-01,30.9
1994-12-01,30.67
1995-01-01,30.69
1995-02-01,30.35
1995-03-01,27.75
1995-04-01,25.23
1995-05-01,23.22
1995-06-01,25.79
1995-07-01,28.75
1995-08-01,31.76
1995-09-01,33.63
1995-10-01,32.21
1995-11-01,30.89
1995-12-01,30.65
1996-01-01,30.73
1996-02-01,30.3
1996-03-01,27.77
1996-04-01,24.67
1996-05-01,24.24
1996-06-01,25.75
1996-07-01,28.25
1996-08-01,31.59
1996-09-01,32.74
1996-10-01,32.56
1996-11-01,30.83
1996-12-01,30.69
1997-01-01,30.67
1997-02-01,29.66
1997-03-01,27.72
1997-04-01,25.16
1997-05-01,23.31
1997-06-01,26.17
1997-07-01,29.31
1997-08-01,31.51
1997-09-01,33.65
1997-10-01,32.63
1997-11-01,31.6
1997-12-01,30.64
1998-01-01,30.97
1998-02-01,30.03
1998-03-01,27.3
1998-04-01,24.86
1998-05-01,23.84
1998-06-01,25.35
1998-07-01,28.89
1998-08-01,31.89
1998-09-01,33.25
1998-10-01,33.16
1998-11-01,31.27
1998-12-01,30.39
1999-01-01,30.32
1999-02-01,29.78
1999-03-01,27.55
1999-04-01,25.16
1999-05-01,23.82
1999-06-01,26.79
1999-07-01,28.37
1999-08-01,32.33
1999-09-01,34.14
1999-10-01,33.18
1999-11-01,30.98
1999-12-01,31.21
2000-01-01,30.52
2000-02-01,30.16
2000-03-01,27.66
2000-04-01,25.41
2000-05-01,24.67
2000-06-01,25.51
2000-07-01,29.96
2000-08-01,31.57
2000-09-01,34.03
2000-10-01,33.06
2000-11-01,30.85
2000-12-01,30.51
2001-01-01,30.78
2001-02-01,29.85
2001-03-01,27.72
2001-04-01,24.98
2001-05-01,24.44
2001-06-01,26.93
2001-07-01,29.92
2001-08-01,32.83
2001-09-01,34.45
2001-10-01,34.48
2001-11-01,31.39
2001-12-01,30.91
2002-01-01,31.24
2002-02-01,30.93
2002-03-01,28.51
2002-04-01,26.21
2002-05-01,25.18
2002-06-01,27.4
2002-07-01,30.86
2002-08-01,32.4
2002-09-01,33.69
2002-10-01,32.5
2002-11-01,31.19
2002-12-01,30.23
2003-01-01,30.86
2003-02-01,29.44
2003-03-01,27.61
2003-04-01,24.83
2003-05-01,23.3
2003-06-01,25.96
2003-07-01,29.44
2003-08-01,31.0
2003-09-01,33.36
2003-10-01,33.07
2003-11-01,31.87
2003-12-01,31.04
2004-01-01,31.11
2004-02-01,29.21
2004-03-01,26.87
2004-04-01,23.92
2004-05-01,23.95
2004-06-01,25.97
2004-07-01,28.56
2004-08-01,32.6
2004-09-01,34.5
2004-10-01,33.55
2004-11-01,31.57
2004-12-01,31.17
2005-01-01,30.73
2005-02-01,30.03
2005-03-01,28.09
2005-04-01,25.15
2005-05-01,23.57
2005-06-01,26.75
2005-07-01,30.32
2005-08-01,33.77
2005-09-01,33.26
2005-10-01,32.57
2005-11-01,31.44
2005-12-01,30.95
2006-01-01,31.22
2006-02-01,30.17
2006-03-01,27.97
2006-04-01,25.72
2006-05-01,24.44
2006-06-01,25.2
2006-07-01,29.27
2006-08-01,33.17
2006-09-01,34.23
2006-10-01,32.29
2006-11-01,30.99
2006-12-01,30.73
2007-01-01,30.96
2007-02-01,31.22
2007-03-01,28.46
2007-04-01,25.86
2007-05-01,24.36
2007-06-01,27.4
2007-07-01,30.32
2007-08-01,32.54
2007-09-01,34.96
2007-10-01,32.34
2007-11-01,31.33
2007-12-01,31.31
2008-01-01,31.66
2008-02-01,30.79
2008-03-01,28.26
2008-04-01,25.33
2008-05-01,24.56
2008-06-01,26.18
2008-07-01,30.59
2008-08-01,33.51
2008-09-01,35.08
2008-10-01,33.46
2008-11-01,32.76
2008-12-01,31.04
2009-01-01,31.05
2009-02-01,31.02
2009-03-01,28.86
2009-04-01,25.88
2009-05-01,24.27
2009-06-01,26.36
2009-07-01,29.13
2009-08-01,32.91
2009-09-01,34.12
2009-10-01,33.77
2009-11-01,31.3
2009-12-01,30.93
2010-01-01,30.86
2010-02-01,30.26
2010-03-01,27.86
2010-04-01,24.97
2010-05-01,23.89
2010-06-01,27.05
2010-07-01,32.33
2010-08-01,32.97
2010-09-01,33.23
